head,rel,tail
schools,attribute,financial
school school,attribute,public
end,related to,school
school,related to,text
titletitle,related to,school
school,related to,titletitle
private,related to,title
school,related to,level
school,related to,private
##20,related to,title
school,related to,difference
school,are,school
school,related to,background
school,related to,government
privateq,related to,school
title,are,school
one,related to,title
school,related to,the
which,related to,title
term name,related to,title
term term,related to,title
school,related to,a a
title,related to,title a
language,related to,title
language,are,title
title,related to,language
standard,related to,title
title,related to,standard
title,related to,medium
school galaxy,related to,name
title,related to,##le
##q,related to,school
title,related to,##q
title,related to,why
name,related to,school
title,related to,name school
medium medium,related to,school
title,related to,city
medium,related to,school
language,attribute,official
language name,attribute,official
medium,related to,language
name,related to,language
state,related to,name
a a,related to,name
school school,related to,name
city city,related to,name
state,related to,city city
city,related to,name
state,related to,city
state,related to,text
language,related to,text
schools,related to,language
language,used,language
language,related to,name
city,receive,government
city,receive,government assistance
end,activity,aided
class,related to,middle
class,related to,text
class,related to,type
name,related to,class
class,related to,name
class,related to,education
class,related to,title
the,related to,city
end,related to,class
language,related to,background
background,related to,language
years,related to,background
name,are,background
background,related to,city
wall,related to,##background
wall,attribute,great
series,related to,##background
stretch,attribute,much
north,related to,border
nest,attribute,nestorian
end,related to,##ism
##sm,related to,text
##sm,related to,title
titletitle,related to,##sm
##sm,related to,titletitle
##sm,related to,type
name a,related to,title
conf,related to,title
government,attribute,most
title,related to,have
##title,related to,text
practices,related to,text
title,related to,classics
disunityunity,related to,period
disunity,related to,period
weretitle,related to,disunity
end,related to,scientifictitle
instruments,related to,type
music,related to,type
titletitle,attribute,western
end,related to,backgroundism
backgroundism,related to,background
background,related to,fields
background,activity,were
fields,related to,background
background,related to,study study
instruments instrument,related to,type
instruments instrument,attribute,musical
background,related to,instruments instrument
instruments,attribute,musical
instruments,did were,background
instruments,did,background
background background,related to,not
background,activity,was
title,related to,war
##background,related to,background
title,related to,##background
title,related to,series
series name,related to,background
title,related to,series name
series,given,title
fort,related to,series
title,related to,fort
series,fortified,title
ification,related to,fort
title,related to,walls
border,attribute,traditional
title,activity,battle
title,activity,did were
polo name,related to,title
polo name,say,title
title,related to,polo name
call,related to,title
title,related to,call
about,related to,title
title,related to,about
title,related to,capital
city,related to,title
title,known,title
title,related to,that
wall wall,related to,title
title,related to,wall wall
did,related to,title
title,related to,did
title,was were,title
end,related to,book
title,was,name
end,related to,name
name,activity,did
title,related to,was
title,related to,title name
title,related to,purpose
name,attribute,first
for,related to,title
title,related to,for
title,related to,people
title,related to,source
end,activity,were
wall,related to,the
##q,was,title
whatq,related to,title
##q,did,##q
name,attribute,english
##q,related to,name
##q,known,title
title,activity,known
##q,related to,book
##q,related to,text
##q,related to,call
languages,activity,used
text,related to,##g
title,attribute,chinese
title,related to,summer
##m,related to,title
title,related to,##m
title,fought,title
title,activity,fought
was,did,title
title,activity,make
end,related to,##ly
##ly,related to,text
##omestitle,related to,##ly
##omeq,related to,##ly
end,related to,##omeq
phagolysosome,related to,text
title,related to,phagolysosome
phagolysosome,related to,title
phagolysosome,related to,role
phagolysosome,attribute,free
function,related to,phagolysosome
phagolysosome,related to,function
phagolysosome,related to,role ph
phagolysosome,attribute,digestive
background,activity,does is
phagocytes,related to,background
radicals,attribute,free
background,##tle,background
background,was did,background
form,attribute,oldest
animals,related to,host defense
background,related to,cytok
macrophages,related to,neutrophils
neutrophils,related to,macrophages
end,related to,macrophages
neutrophils,related to,text
neutrophils,related to,titletitle
neutrophils,related to,titleqq
neutrophils,related to,title
##yt,related to,title
system,related to,title
response,related to,title
immune,related to,title
background,related to,immune
##ut,related to,background
immune,related to,background
response,related to,immune
immune system,related to,background
titletitle,related to,neutrophils
type type,related to,title
process,related to,title
cells,related to,title
cell,related to,title
macro,related to,type
phagagocytesocytes,related to,type
phagocyteocyte,related to,type
phagocyte,related to,type
neutrophils,related to,phagocyte
body,related to,phagocyte
bloodstream,related to,phagocyte
##rophrop,related to,phagocyte
neutrophrophil,related to,phagocyte
end,related to,neutrophrophil
##sil,related to,phagocyte
end,related to,##sil
type,attribute,most
title,related to,percentage
is do,related to,title
title,related to,is do
title,are are,title
title,related to,cell
title,related to,type
title,are does,title
macro,related to,title
title,related to,macro
functions,related to,title
title,related to,functions
body,related to,title
title,related to,body
title,related to,cause
macrophages,related to,title
type type,attribute,abundant
type,attribute,abundant
title,related to,debris
title,related to,position
title,related to,response
title,related to,fromq
title,activity,stated
students,related to,title
title,related to,students
title,related to,university
why,related to,title
nameq,related to,title
title,related to,nameq
response,related to,name
university,related to,name
title,related to,policy
end,related to,response
end,related to,universityq
isq,related to,title
title,related to,isq
name,related to,name name
vice con,attribute,african
name,related to,##qq
vice,attribute,african
titletitle,related to,name
name,related to,titletitle
yard,related to,title
title,activity,given
##q,activity,was
##tle,related to,was
end,related to,background million
background million,related to,text
background,did,background
background,related to,year
background,related to,management
year,related to,background
background,related to,investments
background,related to,holdingsq
background,related to,south
background,related to,vice
end,related to,background8
backgroundtitletitle,related to,background
amount,related to,background
background,related to,amount
country,related to,background
background,related to,country
background,erected,background
background,take,background
background,activity,take
background,related to,way
year,name,background
year,did,background
year,become,background
background,int,background
background,activity,did
title,related to,house
year,related to,title
title,related to,year
university,related to,title
research,related to,title
title,related to,research
text,related to,##q
title bey,related to,title
title,related to,title bey
acceptance,related to,title
title,related to,acceptance
college,related to,title
title,related to,college
name,attribute,average
applicant,related to,title
title,related to,class class
title,related to,class
##2q,related to,class
title,related to,##2q
title,related to,##a
class,accepted,title
class,accepted accepted,title
class,accepted,applicants
class,accepted,applicants applicants
these,related to,title
immunity,attribute,innate immune
system response,attribute,innate immune
system,attribute,innate immune
cells,related to,system
##tle,related to,cells
response,related to,text
system,related to,text
system,attribute,adaptive
##tle,related to,system
systemtitletitle,related to,system
system,related to,systemtitletitle
system,related to,##q
part,related to,system
system,related to,part
immunity,related to,system
immunity,attribute,adaptive
system,related to,immunity
immune,related to,system
system,attribute,immune
immune system,related to,system
system,related to,immune system
response,related to,system
body,attribute,immune
system immunity,attribute,adaptive
immune system system,attribute,adaptive
immune systemq,attribute,adaptive
titletitle,related to,body
body,activity,are are
immunity,related to,body
immunity,attribute,innate
body,related to,immunity
system,related to,name
body,related to,background
immune system,attribute,innate
body,related to,immune system
immune system isq,attribute,innate
group,related to,immune system
group,attribute,what
line,related to,immune system
defense,related to,line
defense,related to,immune system
pathogens,related to,defense
background,related to,pathogens
background,related to,self
background,is are is,background
background,activity,is are does
name cells,related to,background
name,used,background
background,related to,system
background,related to,cell
background,related to,antigen
q cells,related to,background
background,related to,q cells
background,do missing,background
background,related to,nk term cell
end,related to,background years
background,related to,years
background,did did,background
the,activity,did
background,find,background
background,activity,recognize
background,related to,cells
background,related to,naturalq
background,activity,is does
cells,related to,background
background,activity,know
background,related to,work
title,related to,half
university,related to,term
half,related to,name
minimum,related to,title
gpa,related to,name
top,related to,name
academic,related to,name
degrees,related to,class
degrees,related to,text
class,awarded,studentstitle
class,awarded,students
the,related to,titletitle
name,activity,given
name,related to,percent
name,related to,students
name,related to,are
class class,related to,class
name,related to,scholars
senior,attribute,senior
5title,related to,background
background,related to,percentage a
students,related to,background
name,given,background
background,related to,committee
year,related to,name
background,related to,classq
background,related to,rate
students,given,background
number,related to,name
background,related to,number
students,related to,name
background,related to,year year
background,related to,##not
name,related to,percentage
background,related to,student body
background,activity,is was
number,related to,background
students,were,background
student,related to,background
background,related to,population
killer,related to,name
name,related to,killer
class killer,related to,name
m type,related to,name
background,related to,receptor
name,related to,qtitle
receptor,related to,background
class,related to,background
receptor helper,related to,background
background,related to,receptor helper
name helper,related to,background
background,related to,name helper
role,related to,name
background,related to,thatq
inq,related to,title
title,related to,inq
immun,related to,title
##back,related to,title
title,related to,virus
title,related to,helper
title,related to,cells
cytokines,related to,title
fever fever,related to,feveryellow
fever fever,attribute,yellow
fever outbreak,related to,fever
fever outbreak,related to,text
fever outbreak,attribute,yellow
fever outbreaks,attribute,yellow
fever outbreaks,related to,text
fever outbreaks,related to,title
backgroundtitle,related to,title
fever outbreaks,related to,thetitle
city,related to,background
east,related to,extension
railroad,related to,extension
extension,related to,railroad
##q,related to,##tle
was name,related to,title
president,related to,title
extension,attribute,old
home,related to,name
title,activity,caused
railroad,related to,text
title,related to,railroad
name,activity,visited
city,activity,caused
tourism,activity,caused
age,related to,text
name,activity,caused
fever,attribute,yellow
##tle,related to,what
city,related to,##q
background,related to,decline
age,was did,background
age,become,background
background,related to,major
destination winter,related to,age
background,related to,destination winter
destination,related to,age
destination,attribute,popular
background,related to,destination
background,caused,background
sen,related to,background
background,related to,sen
background,related to,winter
background,related to,##o
background,activity,caused
wealth concentration,attribute,greater
wealth concentration,according,wealth concentration
wealth concentration,attribute,economic
wealth concentration,attribute,global
wealth,attribute,new
wealth concentration,related to,wealth
title,related to,wealth
return,related to,text
tax,related to,text
size,related to,text
growth,attribute,most
income,related to,relationship
wealth,related to,wealth wealth
capitalq,related to,return
tends,related to,capital
end,related to,wealth
capital,related to,wealth
concentration,attribute,fundamental
entities,related to,individuals
theory,related to,wealth
inequality,related to,persistence
incomeq,related to,persistence
inequalitya,related to,persistence
persistence,related to,inequality
return,related to,inequality
possession,activity,concentrates
society,related to,inequality
growth,attribute,economic
titleq,related to,text
wealth,related to,title
title,related to,book book
title,related to,theory
book,related to,title
title,related to,who
title,related to,process
negative,attribute,negative
year,related to,policies
year,activity,was was
year,related to,the
year,win,prize
year,related to,##q
year,related to,text
year,related to,titletitle
backgroundq,related to,background background
background,did is,background
year,was,background
background,related to,gain
title,are,title
title,##ted,title
book book,related to,name
title,related to,nations
title,related to,report
istitle,related to,title
title,related to,istitle
titletitle,attribute,higher
title,attribute,higher
b20,related to,title
title,related to,b20
campaign,related to,title
title,related to,campaign
title,related to,election
election,related to,title
background,related to,election
title,related to,web
election,related to,background
elections,related to,background
title,related to,elections
election,attribute,presidential
place,related to,election
title,related to,place
quadren,related to,election
quadrenn,related to,election
title,related to,quadrenn
##l,related to,quadren
##l,attribute,##nia
title,related to,##l
##tle,related to,titleq
title,attribute,lower
rates,related to,title
title,related to,are
are are,related to,title
names,related to,title
title,related to,names
goods,related to,rates
title,related to,problems
health health,related to,rates
health,related to,rates
goods,attribute,social
goods goods,related to,rates
goods goods,attribute,social
countries countries,related to,goods
countries problems,related to,goods
countries,related to,goods
title,related to,countries
countries,attribute,lower
inequality inequality,related to,countries
inequality,related to,countries
title,related to,inequality
title,related to,lowerq
end,related to,inequality
titletitle,related to,inequality
title,related to,howtitle
title,related to,nationality
rates,related to,inequality
inequality,related to,equality
equality,related to,text
equality,related to,income
titletitle,related to,equality
equality,related to,titletitle
title,related to,equality
equality,related to,title
problems,related to,title
equality,related to,inequality
rates,attribute,lower
equality,related to,countries countries
countries,related to,are
equality,related to,countries
levels levels,related to,places
levels,attribute,higher
equality,related to,equality inequality
inequality,related to,levels
states,related to,names
states,did,states
states,related to,countries
researchers,related to,states
researchers,attribute,british
states,related to,researchers
researchers,use,researchers
researchers,use,states
researchers,use did,states
researchers,collect,states
states,activity,gather
researchers,gather,statistics
states,activity,find
states,activity,use
states,related to,statistics
states,related to,text
states,related to,title
titletitle,attribute,american
title,attribute,american
social,related to,title
study,related to,text
states,related to,area
end,activity,did
titletitle,attribute,lower
rates,related to,low
inequality inequality,attribute,low
inequality,attribute,low
rates,related to,text
levels levels,attribute,lower
differences,related to,differences differences
countries,related to,background
background,related to,countries
differences,related to,text
background,related to,differences
background,related to,inequality
background,activity,been
background,related to,rates
background,activity,developed
background,related to,society
not,related to,background
income,related to,background
background,related to,income
background,been,background
good,attribute,greatest
good,related to,principle
number,attribute,greatest
title,related to,number
ofq,related to,number
##ine,related to,title
growth,related to,title
inequality,related to,title
states,related to,inequality
growth,related to,background
good,related to,text
principle,attribute,utilitarian
good,related to,people
##ri,related to,text
##ri,attribute,dist
##ri,##bu,efficiency
efficiency,attribute,##tive
##ri,related to,titletitle
##ri,related to,title
does,attribute,economic
##ri,related to,dollar
efficiency,activity,##bu
person,attribute,poor
##ri,related to,person
deal,attribute,great
##ri,related to,utility
title,related to,utility
necessities,attribute,basic
dollar,spent,person person
dollar,spent,person
increases,related to,text
marginal,attribute,greatest
number,related to,people
goodq,related to,people
goodq,attribute,greatest
happinesstitle,related to,people
end,related to,good
happiness,related to,text
example,related to,good
utility,related to,text
little,attribute,little
title,related to,land
land,related to,title
land,related to,text
titletitle,related to,years
title,related to,years
land,activity,build
government,activity,build
permission,activity,get
property,activity,build
government land,activity,build
property,activity,registered registered
ownership,activity,registered
the,activity,held
background,activity,build
background,related to,causes
background,activity,held
background,activity,get
climate,related to,background
background,related to,climate
background,held,background
end,related to,housing
researchers,related to,title
san,related to,title
company,related to,san
year,was,year
year,activity,was
year,activity,did
city,related to,year
year,related to,city
improvements,related to,tract
improvements,attribute,necessary municipal
year,activity,did did
tract,activity,did
city,activity,did
water,related to,water water
water,related to,text
water,related to,titletitle
water,related to,title
company,related to,text
boundaries,activity,was did
end,related to,2title
end,related to,company
act,related to,text
titletitle,related to,act
titletitle,was,title
homes,activity,did
subdivision,related to,name
name,activity,was
end,related to,what
boundaries,related to,text
name,related to,boundaries
##tle,related to,acres
name,related to,year
property,activity,were
homes,related to,text
city,related to,text
acres,related to,title
tract,activity,mapped
background,activity,mapped
acres,related to,text
san,related to,background
background,related to,san
background,mapped,background
homes,name,background
background,activity,given
writing,discouraged,name
writing,related to,background
writing,related to,writing writing
end,related to,mong
end,related to,background state
##tle,related to,state
state,activity,was
the,related to,greattitle
fortifications,related to,series
fortifications,built,border
border,related to,fortifications
fortifications,built,borders
border,attribute,northern chinese
6qq,related to,titletitle
title,related to,6qq
title,did did,title
title,happened,title
title,activity,encourage
title,related to,dynasty
title,built,title
title,activity,built
title,activity,conf
title,related to,scholars
title,activity,did
##q,activity,did
##a,activity,become
end,activity,become
text,become,end
titletitle,activity,become
division,related to,background
division,attribute,administrative
background,related to,division
class,attribute,many societal
class divisions,attribute,many societal
structure,related to,title
backgroundtitle,related to,background
background,activity,have
background,activity,ranked
background,did was,background
background,related to,resource
resources,related to,background
resources,attribute,natural
background,related to,resources
resources,did,background
government,related to,resources
government,attribute,chinese
government government,related to,resources
government government,attribute,chinese
background,did did was,background
title,activity,moved
title,had,title
fire,related to,title
title,is is,title
series,related to,title
title,related to,中 国
fort,related to,中 国
ifications,related to,中 国
title,related to,ifications
border,related to,中 国
namel,related to,title
title,related to,namel
dynasty,related to,name
##g,related to,name
title,related to,##g
city,related to,capital
khan,related to,capital
end,related to,capital
title,activity,was was
capital,attribute,mongol
end,related to,city
title,activity,had
city,attribute,new
text,was,end
name,related to,city
name,related to,khan
end,activity,was
title,related to,depression
fire,attribute,what
title,wrote,title
title,encourage,title
kind,related to,title
title,encourage,promote
title,activity,write
##qq,related to,titletitle
title,related to,##qq
encourage,activity,encourage
title,related to,paper
title,related to,money
title,activity,did did
text,encourage,encourage
##tle,related to,the
background,activity,wrote
kinds,related to,background
background,related to,kinds
background,wrote,background
background,activity,described
growth,related to,kinds
background,related to,does does
growth,did,growth
growth,related to,text
song,related to,song song
novel,related to,background
title,activity,is did
title,related to,##i
collection,related to,name
title,related to,collection
institutions,attribute,comprehensive
end,related to,institutions
institutions,related to,text
title,related to,institutions
institutions,related to,title
institutions,related to,princes
title,related to,reason
reason,related to,title
title,related to,##ens
name,killed,title
title,activity,happened
title,activity,were
title,related to,emperor
title,related to,rival
title,related to,yuan
qtitle,related to,text
##ur,related to,name
title,related to,##ur
note,related to,son
background,related to,son
background,attribute,##geen
son,related to,background
end,related to,son
##tle,related to,son
background,activity,was did was
emperor,related to,background
background,related to,emperor
wife,related to,background
background,related to,wife
daughter,related to,background
background,related to,daughter
son daughter,related to,background
background,related to,son daughter
background,related to,##qq
background,related to,note
son,did,background
minister,related to,son
background,related to,minister
title,related to,##20
##8,related to,title
title,related to,##8
campaign,related to,background
##ground,related to,background
title,related to,##ground
background,is is,title
boundaries,related to,plate
end,related to,boundaries
a a,related to,name name
theory,related to,name
boundaries,related to,titletitle
boundaries,related to,a a
transform,related to,boundaries
boundaries,related to,name name
boundaries,related to,area area
area,called,boundaries
area,called called,boundaries
boundaries,activity,are
boundaries,activity,move
boundaries,activity,transform
boundary,related to,text
area,related to,title
boundaries,related to,area
area,called,plate
earthquakes,attribute,widespread powerful
end,related to,drift
##q name,related to,title
title,called,title
where,related to,title
title,related to,where
type,does,title
title,related to,area
title,related to,theory theory
title,related to,san
geology,related to,observations
name,related to,geology
end,related to,##liths
xenoliths,related to,text
titletitle,related to,xenoliths
title,related to,xenoliths
xenoliths,related to,title
##en,related to,title
xenoliths,related to,##en
xenoliths,related to,name
xenoliths,related to,##cr
xenoliths,related to,xenolith
xenoliths,related to,bodies
xenoliths,related to,rock
body,attribute,foreign
xenoliths,related to,body
xenoliths,related to,sediment
components,related to,principle
inclusions,related to,body
components,related to,inclusions
you,related to,title
bodies name name,related to,title
word,related to,title
bodies name,related to,title
sediment,related to,xenoliths
rocks,related to,xenoliths
xenoliths,related to,rocks
rock,related to,rocks
inq,related to,rocks
name,related to,xenoliths
word,attribute,principle
##th,related to,principle
the,related to,xenoliths
formation,activity,contains
gravel,related to,principle
principle,activity,contains
##q,related to,xenoliths
clastsclusions,related to,xenoliths
clasts,related to,xenoliths
title,related to,clasts
titletitle,related to,clasts
formation,related to,title
formation,related to,name
with,related to,principle
end,related to,rock
states,related to,principle
end,related to,complexq
titletitle,related to,##tle
bey,related to,titletitle
titletitle,related to,bey
difference,related to,titletitle
succession,related to,principle
succession,attribute,faunal
titletitle,related to,rock
principle,related to,titletitle
basedq,related to,succession
background,related to,succession
studio,related to,background
inq,related to,background
succession fa,related to,principle
succession fa,attribute,faunal
succession,based,succession
succession,based,the
succession,based,appearance
fauna,related to,principle
succession,related to,fauna
succession,attribute,##l
titletitle,related to,fossils
sediment sediment,related to,fossils
fossils,related to,principle
succession,related to,title
succession,based,success
succession,based,fossils
succession,developed,succession
time,attribute,same
sediment,activity,become
rock,activity,become
title,activity,become
the,activity,become
end,related to,evolution
principle,related to,theory
theory theory,related to,principle
theory,related to,principle
fa evolution,related to,principle
principle,related to,succession
fa principle,related to,principle
principle,related to,success
succession,based,principle
principle,related to,sediment
principle,related to,text
principle,related to,the
end,related to,land
the,related to,text
end,related to,earth
earth,related to,text
succession succession,related to,principle
success success,related to,principle
success success,attribute,faunalunal
succession succession,attribute,faunal
earth,related to,theory
sediment,related to,fossils
earth,related to,sediment
rocks,related to,fossils
rocks,attribute,sedimentary
earth,related to,rocks
sediment,related to,rocks
organisms,related to,rocks
organisms,exist,rocks
principle,related to,fact
fact,related to,text
end,related to,succession
fact,related to,background
background,related to,presence
background,related to,theory
principle,based,background
succession,based,background
succession,built,background
background,related to,succession succession
succession succession,built,background
background,activity,based
background,related to,appearance
succession,related to,background
background,developed,background
after,related to,background
background,related to,success
fossils,related to,background
background,related to,uncertainty
presence,related to,background
background,related to,principle principle
background,related to,theory theory
evolution,related to,theory
background,related to,evolution
end,related to,background9
background9,related to,text
uncertainty,related to,background
principle theory,related to,background
background,related to,principle theory
principles succession,related to,background
background,related to,principles succession
background,related to,success success
was,related to,background
background,related to,was
background,related to,principles
principles,related to,background
theory principle,related to,background
background,related to,theory principle
organisms,related to,text
background,related to,organisms
background,activity,built
background,activity,show
relative,attribute,relative
background,related to,formation
text,based,background
isq,related to,background
background,related to,isq
background,related to,thought
background,related to,publication
evolution,related to,rocks
end,related to,##0s
title,related to,novel
group,related to,rock
title,activity,consisted
igraphy,related to,text
term,attribute,first
method,related to,title
radi,related to,point
radi,attribute,different
age data,attribute,absolute
age data,related to,text
age data,related to,start
crystal,related to,background
background,related to,crystal
studies,attribute,##gic
background,related to,inqq
whattitle,are,background
isotopes,related to,thing
isotopes,stop diffusing,crystal crystal l
backgroundq,related to,background
thrustust belt belt,related to,fold
thrust belt belt,related to,fold
thrust belt,related to,fold
faulting,related to,##tle
rocks,activity,stretching
word,attribute,grand
sediment,attribute,entire
sequence,attribute,entire sedimentary
name,activity,become
background,activity,make
##q,does,background
events,attribute,long
background,related to,events
processes,related to,activity
background,related to,process
background,related to,deposition
background,related to,intrusion
ist,related to,dikes
text,related to,ist
##it,related to,dikes
background,related to,doestitle
sediment term,related to,background
arms,related to,background
background,related to,lava
background,related to,lava tubes
background,related to,flow
background a,related to,background
end,related to,background a
lava,related to,background
a a,related to,anotherq
area,related to,name
canyon,related to,title
##itle,related to,title
title,related to,##itle
example,related to,title
title,related to,a a
areq,related to,background
##q,activity,are
background,activity,allow
title,related to,fraud
##once,related to,title
background,attribute,great
singer,related to,background
bibiə,related to,background
fraud,attribute,financial
planning,attribute,financial
fraud,related to,planning
amount,attribute,present
funding,related to,amount
funding,cover,costs
costs,attribute,current
materials,related to,labour
amount,related to,title
funds,attribute,sufficient
purpose,attribute,financial
project,ensure,plan
plan,attribute,solid
cash cash,related to,background
background,related to,cash cash
purpose,related to,background
background,related to,problem
background,related to,funding
background,related to,labour
reason,related to,background
background,related to,reason
background,related to,costs
zoning,related to,law
residents,related to,residents residents
community,related to,community community
titletitle,related to,owner
owner,related to,titletitle
who,related to,background
attorney,tries,background
attorney,get,district
bridge,related to,background
background,related to,bridge
contract,attribute,contractual
architect architect,related to,mainthe
architect,related to,architect architect
architect architect,related to,contractor
engineer,related to,architect
architect,related to,text
architect,related to,engineer
architect,related to,title
architect,related to,titletitle
clients,related to,architect
architect,related to,clients
client client,related to,architect
architect,related to,client
contractor contractor,related to,client
contractor contractor,attribute,main
architect,related to,contractor contractor
contractor,related to,client
contractor,attribute,main
architect,related to,contractor
subcontract,related to,contractor
architect,related to,subcontract
subcontractor,related to,contractor
subcontractor,has,architect
subcontractor,has,relationship
relationship,attribute,direct contractual
architect,related to,project
main,attribute,main
architect,related to,main
title,related to,contractor
titletitle,related to,contractor
procedure,related to,contractor
##tle,related to,##q
contractor,related to,text
contractor,related to,title
the,related to,contractor
contractor,related to,the
contractor,related to,project
contractor,related to,construction
contractor,related to,role
title,activity,occupy
end,related to,building
building,related to,text
building,related to,construction
building,related to,title
procurement,related to,method
construction procurement,related to,method
building,related to,construction procurement
contract,related to,construction procurement
method,related to,construction procurement
method,attribute,common
construction architect,related to,method
client,related to,construction procurement
project,related to,construction procurement
building,related to,##tle
building building,related to,construction
they,related to,background
background,related to,they
owner,activity,happens
plan,activity,approved
construction,activity,ensure
facilities,activity,existing
phone phone,related to,sewage
phone,related to,sewage
cables,related to,phone
cable facilities,related to,phone
##q,related to,cable facilities
during,related to,title
sewage,related to,water
cable,related to,phone
building,attribute,municipal
building inspector,attribute,municipal
building inspector building,attribute,municipal
occupancy utilities,activity,existing
building,related to,the
end,related to,cable facilities
contractors,activity,existing
title,activity,marked
end,related to,water
firms,attribute,many
firms,existing,firms
firms,activity,existing
firms,related to,women
employees,related to,women
background,##q,background
women,related to,background
background,related to,women
unemployment,related to,background
differences,related to,title
salary,related to,title
title,related to,wage
title,related to,salary
architect,related to,salary
title,related to,middle
titletitle,related to,salary
construction salary,related to,salary
construction salary,attribute,average
title,related to,construction salary
construction salary average,attribute,average
end,related to,##£
titleq,related to,##tle
rec,related to,title
title,related to,rec
title,does,title
years,related to,title
workers,related to,title
average,related to,title
title,related to,average
title,activity,working
title,related to,professional
end,related to,safety
asq,attribute,such
background,##es,background
background,related to,cause
##tle,related to,ins
titletitle,related to,schools
bey album,related to,background
single,related to,background
##once,related to,background
##once is,related to,background
schools,related to,##q
bibi,related to,background
bijnse,related to,background
along,related to,title
title,related to,along
with,related to,title
title,related to,with
title,related to,sport
title,related to,aid
end,related to,scholarship
aid,related to,title
non,related to,title
text,related to,tuition
tuition,related to,bey
end,related to,tuition
art,related to,tuition
tuition,related to,art
sport,related to,tuition
tuition,related to,sport
tuition,related to,scholarships
name,related to,art
name,related to,tuition
tuition,related to,state
government,related to,non
tuition,related to,scholarship
tuition,related to,thatq
end,related to,tax
tuition,related to,non
tuition,related to,academic
students,related to,text
##tle,related to,government
school,activity,are
school,related to,name name
private,related to,name
government,related to,name
school school,attribute,private
school school,related to,school
a a,related to,school
the,related to,school
talent,related to,name
non,related to,name
scholarship,related to,name
school,related to,scholarship
background,related to,tuition
tuition,attribute,private
school a,related to,name
tuition,related to,thetitle
kind type,related to,background
sport,related to,background
tuition,related to,funds
##ti,related to,background
term,does,background
schools,attribute,private private
background,related to,school school
background,related to,schools schools
background,term,background
term,used,name
background,related to,background a
background,related to,cost
title,are,background
the,related to,##q
term term,related to,##q
background schools,related to,text
end,related to,background schools
background,is is,name
##hy,attribute,stratigraphop
data,attribute,stratigraphic
sections,attribute,stratigraphic
drill cores,related to,sections
sections,related to,text
sections,related to,strat
sections,related to,##ig
sections,activity,produce
view,activity,produce
view,attribute,better
sections,related to,subs
sections,related to,data
sections,related to,title
title,related to,drill cores
end,related to,location
background,drill,background
drill cores,related to,background
background,related to,location
background,related to,drill cores
background,activity,analyze
background,activity,is are
data,attribute,geophysical
background,related to,ina
##tle,related to,not
background,canq,background
background,related to,data
surveys,related to,logs
data,related to,text
denomination,related to,background
background,related to,denomination
denomination,associated,background
denomination,operated,background
background,related to,college
denomination,is are,background
end,related to,half
schools school,attribute,private
title,related to,titleqq
percentage name,related to,title
title,related to,name percentage
name students,related to,title
school,related to,percentage
title,related to,tertiary
school students,related to,percentage
school students,attend,students
school,related to,school students
students,related to,school students
title,related to,schools schools
schools,related to,school students
percentage,attribute,tertiary
tertiary,related to,percentage
students,related to,tertiary
students,related to,the
name,attribute,private
schools,related to,percentage
per,related to,education
the,related to,percentage
month,related to,title
title,related to,month
title,related to,one
main,related to,title
title,related to,main
name,did,title
title,given,title
applications applications,related to,name
schools schools,related to,applications
schools schools,attribute,new new
schools,related to,applications
courses courses,related to,applications
courses courses,attribute,new
courses,related to,applications
courses,attribute,new
schools schools,related to,courses
schools,related to,courses
schools,attribute,new
schools schools,attribute,new
conversion conversion,related to,schools
conversion,related to,schools
conversions,related to,schools
conversions end,related to,schools
conversions conversions,related to,schools
end,related to,science
title,related to,science
government government,related to,name
##title,related to,##q
students,enroll,students
secondary,attribute,public
school,attribute,public secondary
secondary school,attribute,public
fee,related to,tuition
end,related to,5title
students,activity,attend
background,was is,background
tuition fee supplement,related to,scheme
title,related to,tuition fee supplement
tuition fee supplement,related to,title
titletitle,related to,tuition fee supplement
tuition fee supplement,related to,titletitle
tuition fee supplement,related to,bey
tuition fee supplement,related to,name
scheme scheme,related to,name
tuition fee supplement,related to,scheme scheme
scheme,related to,name
scheme,provides provides,tuition fee supplement
scheme,provides,assistance
tuition fee supplement,related to,fee
tuition fee supplement,related to,students tuition
tuition fee supplement,related to,students
tuition fee supplement,attribute,private
tuition fee supplement supplement,related to,text
tuition fee supplement,related to,text
tuition fee supplement,attribute,eligible
amount,related to,name
name,related to,tuition fee supplement
tuition fee supplement,related to,a a
assistance,related to,name
tuition fee supplement,related to,assistance
tuition fee supplement,attribute,financial
scheme,provides provides,tuition tuition
scheme,provides,aid assistance
aid assistance,attribute,financial financial
assistance assistance,attribute,financial
support,related to,fee
students,related to,fee
tuition fee supplement,related to,under
students students,related to,students
tuition fee supplement,related to,students students
students,enrolled,tuition fee supplement
excess,related to,students
tuition fee supplement,related to,excess
enrollment,related to,students
enrollment,attribute,excess
education,related to,enrollment
tuition fee supplement,related to,education
background,related to,enrollment
tuition fee supplement,related to,student
end,related to,assistance
education,attribute,private
education student,attribute,private
assistance,related to,education student
titleq,related to,assistance
benefits,related to,title
education student,related to,students
tuition fee supplement,are is,tuition fee supplement
tuition fee supplement,related to,the
tuition fee supplement,attribute,due
tuition fee supplement,related to,education student
assistance,are is,tuition fee supplement
children,attribute,white
term,given,background
background,activity,accept
background,related to,model
background,activity,describe
pupils,related to,title
title,related to,pupils
